width 100000
height 100000

0 1 0 480
0 480 -210 480
-210 480 -210 1
-210 1 -10000 1
-10000 1 -10000 3930
-10000 3930 -210 3930
-210 3930 -210 3510
-210 3510 0 3510
0 3510 0 3930
0 3930 7795 3930
7795 3930 7795 3510
7795 3510 7995 3510
7995 3510 7995 3930
7995 3930 15785 3930
15785 3930 15785 3460
15785 3460 15785 2830
15785 2830 15330 3618
15330 3618 15329 3617
15329 3617 15785 2829
15785 2829 15787 2829
15787 2829 15787 3460
15787 3460 15985 3460
15985 3460 15985 3930
15985 3930 35985 3930
35985 3930 35985 1
35985 1 15985 1
15985 1 15985 470
15989 470 15789 470
15789 470 15789 1105
15789 1105 14859 1105
14859 1105 14859 1101
14859 1101 15785 1101
15785 1101 15785 1
15785 1 7995 1
7995 1 7995 470
7995 470 7795 470
7795 470 7795 1
7795 1 0 1

;position 5955 1195 0
position 6070 1200 0
;estimate 6070 1200 1
;estimate 5870 1800 8
